tmd_gravy,tail_charge,location
1.706,2.9,MITO
1.278,2.9,MITO
1.183,-0.1,MITO
0.996,1.9,MITO
1.45,1.9,MITO
1.28,1.9,MITO
2.143,-3.1,MITO
1.578,0.9,MITO
1.211,-2.1,MITO
1.65,-0.1,MITO
2.067,-0.1,MITO
1.991,2.9,MITO
1.622,0.9,MITO
2.657,2.9,MITO
1.75,0.9,MITO
1.67,0.9,MITO
1.152,1.9,MITO
0.904,2.9,MITO
1.226,4.9,PO
1.906,5.2,PO
2.483,9.1,PO
1.589,4.9,PO
2.539,0.9,ER
1.035,-2.1,ER
1.683,-0.1,ER
2.048,1.9,ER
1.9,-0.1,ER
2.447,-1.1,ER
2.043,-3.1,ER
1.852,0.9,ER
1.57,-0.1,ER
2.039,-0.1,ER
2.274,-0.1,ER
2.091,0.9,ER
1.674,0.9,ER
2.152,3.1,ER
1.839,-0.1,ER
1.739,1.2,ER
1.983,1.9,ER
2.313,-0.1,ER
2.4,-0.1,ER
2.583,-0.1,ER
2.182,-0.1,ER